message,label
獻祭,5
Mumei 被說sus 那邊感覺大亂了起來www（我的mumei保護慾出來了）雖說mumei一直單走但明明他們一群人走的時候人都好好的一散開就有人死也不一定是mumei殺的不服～不過最後bae好像有看出mumei是白的感覺但Ina風向帶超好www火雞跟JP前輩們玩那麼多也被Ina帶著走真的很厲害,2
平時就在用翹棍打人怎麼可能不熟練呢,8
哭哭鯊其實他應要看到雞腿的但因為他開地圖找路所以注意力就...XD,2
INA一直誘導IRYS去視線死角處太心機拉~~~,7
Mumei 有發現lna 在裝迷路只是不知道怎麼說明第4場跟lna當面說了三場當狼人機率應該也是在懷疑,7
Meanwhile死神老師：古神你的祭司可以外借嗎最近業務有點多我的大弟子也……你知道的,8
感謝烤肉 INA有跟蘿蔔子連動過嗎她們可以組一個人狼組了 都是連續當人狼,6
這個場對11人可能太大了,7
INA 無情單殺、無情雙殺太無情啦～～～,2
謊言中混點真實最容易讓人放下戒心了感覺剛開始Ina可能真的有點迷路wwwLong Live the TAKO!!,2
祝え繼承全世界之惡超越傳說手刃神話與議會的SAN值王者其名為古神哈桑Ina此刻正是其降臨的瞬間,6
有小天使光環護體第一次INA狼~沒人懷疑他第二次INA狼~INA展露演技~第三次INA狼~INA表示心累....且被針對....只能靠IRYS殺了,3
你用那双手把她们全杀的吗Ina...Ina：不是放下心来Ina我用触手Bonk!!,8
第一場Ina因為碰到Bug斷線接下來連三場都當鬼本日的奧斯卡影后,6
一大早剛睡醒就看到這段我整個人被嚇醒Ina isn't INAcent,9
太無情了Ina~裝迷路大殺特殺www,5
10:53 雞雞,3
好弱,8
wow蟹蟹烤肉酱,3
你是我的眼-Gawr Gura,3
這部影片的特效什麼的超喜歡 烤肉裡面目前最喜歡的一部 看起來很舒適,7
笑死 Right to the cranium,2
來個大佬教一下小鯊魚用末影水晶啊,5
這烤肉品質也太高了,6
大白鯊與小船的對決w,2
聰明ㄟZ字型航線【蛇行】在二戰中也是艦隊規避潛艇攻擊的常用手法,6
為什麼他們兩個看不到GURA?,7
stream sniper be like:,9
你知道我多希望鯊鯊在地獄睡覺ww,2
這個開頭 阿.....淨化了,2
受你推薦來看看 沒想到是一塊寶好棒的烤肉簡直五星級啊,6
我最喜欢你的影片了,6
才不是鯊魚射偏 是Kronii的替身攻擊 他早就提前預知未來的幾秒鐘了,8
極品烤肉!,6
這剪輯欠人訂閱,8
6:20口是心非的鯊鯊www,2
接續之前Ina的動畫Gura：你昔日的同伴已經不在了Ina：但Gura：但是什麼Ina：還是可以去整兩個可ㄞ的後輩Gura：隨時都可UWU,2
鯊魚的攻擊方式1.注意觀察四周2.鎖定目標3.AAA她太快了4.跳到船上嚇人,3
如此精緻的上等伊比利豬烤肉…,6
7:29熟悉的叫声,3
中英文字幕、生動特效這剪輯太猛了吧,6
太強大了,6
我以為是麥塊 原來是十三號星期五嗎w,2
這Gura根本奪命女wwwww惡搞版的那種,2
好用心的剪辑www,6
這就是海洋生物的樂趣嗎www,6
這個剪輯太棒了,6
果然是鯊鯊,3
IRYS也太好笑wwwwww,2
屁到不行,8
IRys反應好可愛WWW,2
江湖再見超好笑www,2
配的超好表情符號也超可愛,6
烤的肉越來越香了海洋生物合作結果屁鯊一直失誤,8
請問2:12的音樂是什麼,3
6:34 Ina 說的是 "Rendezvous" 意思是集合,3
Every trident shot missed Dreams taking a shot...no manhunts for a while lads xD,3
真的太遜了鯊鯊快點加入兔田重工跟屑兔或獅子學習學習,8
Ina在哪裡啊只看到三人,3
Gura：我怎麼miss那麽多次(怒吼)軍師Ina：我怎麼知道你Irys：我們一起貼貼去小屋偷偷兩人睡覺覺Kronii：噢我聽到有三㕚戟先跑為敬88,3
小屁鯊,8
這是烤肉界的極品是難得一見的顛峰之作是一個世代才見一次的松阪肉,6
Gura：我誰~~我鯊魚欸~~(*¯︶¯*)        by有天眼兵的遠古屁鯊,6
全熟烤肉太棒啦,2
我們現在知道為何Gura會來當Vtuber了看看那精美的掠食技巧www,6
請問片頭的BGM是哪一首歌好耳熟,3
誰來教一下鯊魚 正確的使用三叉戟一直射歪   看了頭好痛,7
這是正式錄用的頂級獵食者嗎難怪亞特蘭提斯會沒落了wwwww,2
4:31 該給你音效獎,6
BGM配得很好效果有拉滿w,6
壞鯊鯊壞,8
這種恐怖片裡一定會出現的經典台詞 "這裡什麼都沒有只是妳的幻覺聽錯了而已",3
這個烤肉是米其林星級餐廳的!!,6
There's a shark in my boat!,3
只能說這肉烤的真香,6
好精彩令人目不轉睛,6
片尾画面和乐曲有想过放长一点的版本吗,3
太棒了吧~~~,6
這剪輯有夠讚!,6
好猛的剪輯,6
有完整版就是讚啦 整個就是超好笑,6
InaGura：I want to play a game,3
這肉有夠精緻有夠香謝謝烤肉,5
可惜的是沒有那個唤雷附魔 或者水下 加速的那個,7
不愧是takoeat连情报也送,3
Gura:船太快了我上不去IRyS:我以最快的船速在逃Gura:讓妳看看流體力學的厲害吃我三叉戟平板組完虐兩個boing boing的,3
各種音效有畫龍點睛的效果Kronii直接丟下IRys笑死 XD,6
這烤肉加工得太好了是一間藍帶餐廳,6
大逃鯊生存遊戲直播    虐時間 虐希望   課前輩稅IRyS：Kronii  快用你無敵的時間之星想想辦法啊.....Kronii：我已經使盡全力在阻止他了  但只能讓他卡頓而已  我不行了   你自已保重.......  結論   海鮮組兩人真的太皮了,3
為什麼zz gura這麼緊張?,7
感謝烤肉,2
全熟烤肉太棒啦謝謝烤肉man,2
1:33幫死神解答一下棺材,3
(*´ω｀*)嗯…長方形懂了隨即後怕了起來,2
非常漂亮= 平板,2
ina vs holomyth 前導,3
伊娜是正分形我指的是瀏海啊喂,8
1:27 這裡的@#$% 應該是：this completely harmless pool over here“我要去清理這個完全人畜無害的小泳池了”,3
1:17 calli(危!),3
''You know what else is...''大祭司让死神感到了害怕www,2
死神無心流真可怕.意外的致命,6
秒懂長方形暗示的死神也太可愛,2
0:54 Or if the joke just "fell flat" or...? a joke fell flat 是指笑話沒達到預期效果,3
Ina 開大絕前的詠唱：“U know what else is...”,3
露西娅表示不服,7
X綿寶寶：死神記住要說好話死神：你長得好長方形喔,8
對啦她娘的是妳們調整虛擬角色,7
1:33 其實很簡單mori一定也很熟那就是棺材(未看先猜),3
1:01 "阿好喔",3
死神被威脅死亡?好像哪裡不對?,7
死神是非常守規矩的  不可以色色!!(挺胸稍息!!          INA:但是長條物妳不想要...    死神:ㄚㄚㄚㄚㄚㄚㄚㄚㄚㄚ (蓋過,2
INA这么一说棺材能不能正方形最近很红的剧squid game中它们的棺材就是长方形的礼物盒,3
後面死神唸的是ina的名字ina'nis 好像有正式翻譯叫做 伊那爾栖Ninomae ina'nis 一 伊那爾栖,3
Inaff(拿著手槍).jpg死神爸居然在瑟瑟發抖了XD,2
可惜差一點又能增加奇怪的知識了 www,2
结果把calli放进棺材时找不到棺材盖所以Ina自己躺上去,3
beautiful ipad,3
讓死神收割死神的靈魂,3
想把冥界的管理者送進棺材 這古代生物有點東西,6
是吧!麥塊超能打發時間的,6
