message,label
白癡,4 
政客,8 
台灣價值,8 
智障,4 
便宜的勞力,8 
巨嬰,4 
最不缺廢文,4 
貪污的有錢人,8 
無恥的塔綠班,4 
韭菜,4 
笑話,8 
騙子,8 
蟑螂,4 
詐騙,8 
狗官吧 一撈一大把,4 
智障巨嬰酸民肥宅,4 
禍國殃民的塔綠班,4 
稅金小偷,8 
政客覺青,8 
肥宅,4 
低能,4 
死忠仔吧，大概八百多萬，能為所欲為,4 
塔綠斑綠共,4 
選舉,8 
票不缺啦  800多萬給你扣,4 
蠢蛋,4 
綠共,4 
蟑螂跟塔綠班,4 
民進党的黑心 惡意,4 
台灣鯛,8 
綠能產業,8 
死忠的,4 
幹話,8 
側翼   有夠多的 比蟑螂還多,4 
指揮中心 會議紀錄 廉價勞工 空氣污染 三寶,8 
不缺民進黨跟死忠吧，這些人少一點台灣會更好,8 
無知的人民,4 
低能兒,4 
萊豬、核食、芒果乾,8 
人民的命啊,0 
塔綠班,8 
最不缺白癡死忠仔,4 
三寶,4 
講幹話的政客,8 
無恥政客,4 
死忠綠粉,4 
塔綠班蟑螂,4 
人渣,4 
詐騙狗,4 
智障死忠,4 
詐騙政黨,8 
低能跟垃圾,4 
不缺幹你娘老雞掰綠賤種,4 
肥宅和醜女,4 
處男魔法師,8 
狗官,4 
貪污,8 
死忠的塔綠班,4 
騙人黨,4 
死忠和韓粉,8 
藍綠垃圾,4 
史上最高票 史上最搞笑 圖利最高調,8 
側翼,8 
智障,4 
貪婪的人,4 
渾蛋,4 
政客 隨時可以洗出一批,1 
1450,8 
騙子吧 詐騙島,8 
網軍,8 
神棍，巨嬰，臭嘴,4 
垃圾政客、無恥政客、跟王八政客,4 
不缺辦公室跟小吃店吧 當然不是狗官囉,8 
垃圾 除了垃圾還是垃圾 ！,4 
最不缺你,4 
藍綠垃圾 死忠仔,4 
酬庸,8 
來自中國的小粉紅,8 
政治人物,8 
死忠的,8 
最不缺你的意見,
民進黨,8 
來自呆丸的小粉綠等於中國小粉紅,8 
不缺貪污政客,8 
都能鬥父母了，小粉綠等於綠衛兵等於紅衛兵,8 
刁民,8 
智障,4 
智障政客,4 
文組屁孩記者,4 
騙子,8 
口水,8 
白癡政客，還禍國殃民,4 
基進側翼,8 
不缺200萬資本額標16.5億的小吃店,8 
韮菜,8 
這個問法很426，你就別裝了吧426,4 
不缺智障，活該底層,4 
台奴,4 
不缺死忠仔,4 
死忠,8 
網軍阿這裡就一堆,4 
容易被洗腦的死忠,4 
釣魚台你還幹不贏26，北方四島幹不贏俄,4 
不缺奴工 不缺盤子,4 
滿腦子藍綠的智障,4 
垃圾政客,4 
在這問，我會回答八卦酸民,8 
死忠的,4 
塔綠班缺德  所以找不到良心,4 
智障,4 
假消息,8 
不缺垃圾政客,4 
幹話,8 
政客,8 
盤子,8 
廢物公務員,4 
藍綠垃圾,4 
白痴廢物高官,4 
政客,8 
腐敗的貪官汙吏,4 
台女,4 
無能耍廢貪污造謠搞鬥爭的政客及網軍,4 
垃圾,4 
政客,8 
白癡政客,4 
政客,8 
智障塔綠班,4 
塔綠班,8 
死忠的,8 
貪官,8 
狗官和塔綠斑養的狗,4 
廢文,8 
智障死忠,4 
低能兒,4 
狗官啊不然呢,4 
死忠仔,4 
政客啦操,4 
智缺塔綠班,4 
死忠智障仔,4 
垃圾,4 
塔綠班：還好韭菜人民好騙又好操弄我們就放心了 繼續吃香喝辣囉,4 
廢文,8 
網紅政客綠色媒體,8 
畜牲議員與無能，貪汙指揮官,4 
塔綠班死忠仔,4 
騙子,8 
蟑螂,8 
垃圾,4 
最不缺死忠的啊，沒有那麼多死忠的哪會有一堆政客,4 
騙神仔,4 
綠能,8 
酸民,8 
最不缺幹話,8 
死忠的,8 
小吃店,8 
蟑螂,8 
選票,8 
不缺政客,8 
官,8 
不缺政客,8 
便宜的勞工,8 
塔綠斑,8 
中央政府,8 
死中的,8 
政客跟側翼,8 
嘴炮鄉民,4 
塔綠班，滿出來了,4 
塔綠班,8 
政客,8 
壞掉的克拉克,4 
政客誠實中,8 
塔綠班,8 
便宜勞力啊，一堆奴,4 
塔綠班,8 
蟑螂 垃圾政客 貪官,4 
黑道,8 
蟑螂 側翼 無恥政客狗官,4 
智障、網軍、死忠仔、政客,4 
汪汪隊,8 
奴隸,4 
巨嬰,4 
幹話,8 
沒智障官員我剁掉,4 
白痴,4 
不缺廢文,8 
嘴砲和政客,4 
米蟲政務官,4 
側翼,8 
不缺將被物競天擇帶走的人,8 
死忠的,8 
被圈養的狗,4 
老實樹誠實鐘,4 
死忠的,8 
騙子,8 
垃圾,4 
狗官跟智障死忠,4 
無良心政客,8 
傻子,8 
政客,8 
低能,4 
綠腦人渣,4 
蟑螂,8 
死忠的和塔綠班,8 
中國內賊,4 
網軍,8 
白癡政客塔綠班,4 
自私的人 沒公德心的人 騙子 詐騙份子,4 
狗官 死忠仔,4 
貪官,4 
民進黨相關人士產業缺錢,8 
死忠仔,8 
撈錢政客 還有只會報數字的時鐘,4 
北七,4 
王八蛋政客,4 
死忠的,8 
狗官,4 
白痴 政客 白癡的政客,4 
幹話,8 
缺德政客  太多,4 
不缺智障 媽的真的有夠多,4 
死忠,8 
廢文,8 
塔綠班啊 一堆側翼,4 
政客,8 
白痴說謊喝酒唱歌政客,4 
政客,8 
白癡跟裝睡的吧 沒救惹,4 
刁民,4 
嘴炮,4 
政客,8 
廢文,8 
詐騙集團,8 
垃圾,4 
垃圾政客,4 
騙子,8 
騙子跟瘋子,8 
一堆文組白癡,4 
確診者,8 
綠共,4 
狗官和愚民,4 
選票啊 都是死忠的,4 
愚民,4 
奴,4 
記者會,8 
死忠,8 
蟑螂,8 
垃圾,4 
垃圾狗官,4 
最不缺廢物政客白癡官員,4 
817萬個白痴...,4 
塔綠班的幹話,8 
韭菜 還要問,8 
蟑螂跟謊言,8 
好了啦，能完全執政八年，只有搞這樣，已經很好了，難到你要投中共國民黨嗎？對不對，想一想，是不是覺得好多了？躺好，想想下輩子投胎會更好,4 
智障塔綠斑 跟垃圾政客,4 
死忠,8 
政客廢文,8 
盤子,8 
愚民,4 
蟑螂不缺啊! 早上上班才打死一隻,8 
民進黨腦粉,4 
智障的政客,4 
綠蟑,8 
色盲,8 
酸民,8 
低能死忠仔,4 
垃圾跟低能兒,4 
垃圾民進黨廢物國民黨,4 
網軍,8 
騙子,8 
酸民阿,8 
網軍,8 
垃圾政客和塔綠班,4 
垃圾政客,4 
死忠仔,8 
名嘴,8 
韭菜,8 
不缺垃圾政客 不分顏色政客都是垃圾,4 
垃圾的人和垃圾,4 
塔綠班,8 
蟑螂,8 
人渣政客,4 
政客,8 
死忠的,8 
垃圾,4 
奴隸,4 
白癡政客,4 
"貪污,圖利,自肥,炒房,酒駕,塔綠班蟑螂",4 
內鬥啊,8 
各種政客。,8 
死忠的白癡,4 
政客,8 
垃圾藍綠,4 
出一張嘴的人,8 
不缺蟑螂,8 
貪官,8 
死忠仔,8 
塔綠斑源源不絕,4 
垃圾藍綠政客,4 
幹話指揮官，反質詢的院長,4 
狗官,4 
狗官 垃圾議員,4 
我負責,8 
塔綠班騙子,4 
騙子 光頭 時鐘 暖男 太子 西瓜,4 
詐騙,8 
塔綠班綠共,4 
騙子 上樑不正下樑歪,4 
死忠的,8 
韭菜,8 
塔綠斑,8 
不缺白癡狂信徒,4 
慣老闆,8 
垃圾,4 
不缺廢物，八卦版一堆,4 
網軍,8 
白癡,4 
蟑螂,8 
愛情怕死愛面子的台灣人,4 
台灣價值騙子,4 
低能,4 
綠能,8 
塔綠班,8 
垃圾,4 
牙醫 指揮官,4 
蟑螂,8 
貪污政客,4 
民進黨,8 
政客啊,8 
蟑螂,8 
韭菜跟智障,4 
垃圾,4 
不缺塔綠斑,8 
智障官員,4 
枸官,4 
腦殘,4 
官員幹話,8 
死忠仔,8 
不缺酸民。自己挖坑 哈哈哈哈哈,4 
弱智,4 
低能政客,4 
嘴砲,4 
混蛋,4 
綠色的蟑螂,4 
立法院,8 
政客,8 
韭菜,8 
酸民啊嘻嘻,8 
廢文,8 
價值,8 
講幹話的指揮官！超前部署啥小,4 
詐騙,8 
酸民,8 
便宜勞工,4 
不缺貪污的人,4 
網軍,8 
騙子,4 
不缺作秀的政客,4 
最不缺死忠的,8 
死忠的,8 
智障,4 
政客,8 
肥豬腦慣老闆政客,4 
還在缺水缺蛋操,4 
貪婪的人民,4 
塔綠版,8 
報數仔,8 
智障腦殘,4 
網軍,8 
綠糞,4 
不缺死忠的,8 
政治,8 
綠班,8 
"老闆,主管和公司裡的老屁股",8 
腦殘,4 
不缺藍山a，每次出去買東西前面三寶都有,4 
藍蛆五毛粉紅,4 
塔綠班 綠共 藍綠腦台灣人,4 
南蠻寄生北部的綠色覺青,4 
中共同路人,8 
綠蟑 抓不完,4 
稅金,8 
時鐘,8 
綠蟑螂啊,4 
刁民,4 
綠衛兵，保皇派,4 
他 媽 的 蟑 螂,4 
死忠,8 
韭菜,8 
黨工&詐欺犯,8 
死忠仔,8 
選票,8 
綠共蟑螂超多啦,4 
死忠,8 
側翼狗網軍,4 
狗官,4 
低端賤畜,4 
缺德,4 
綠狗,4 
不缺內鬼,8 
圖利財團的官員,8 
新鮮的肝～,8 
政客 蟑螂 低能,4 
人渣塔綠班政客側翼蟑螂,4 
塔綠班跟全民進黨的垃圾,4 
8+9,8 
政客加腦波弱的人,4 
人命,0 
沙豬台南,4 
腦殘,4 
講那麼多 還不是投民進黨,0 
政治信徒,8 
無能指揮官 目前就 蔡蘇中 這3人,4 
死忠仔,4 
問就是狗官,4 
廉價勞工,8 
時鐘,8 
騙子,8 
綠,8 
最美的風景,2 
賺爛了,8 
沉屎中就吃屎的,4 
鈔錢部署,8 
我党沒有錯 我党沒有錯!,8 
我們的政府很有錢啊,8 
時鐘等等是不是又會惱羞不悅了,8 
民進黨真的治國無方,4 
這叫超前放寬 超前共存 你懂什麼,8 
綠能,8 
要放寬還沒準備 害死人喔,4 
不意外 不然你搬去上海啊！,8 
超度部署敗家仔,4 
有夠扯,8 
協尋某知名甲甲,8 
想看檢討北市快篩買不夠的側翼怎回應~,8 
還是根本抵擋不住才不得不放寬卻表現得超前部署啊,8 
政府吃屎吧,4 
指揮中心權利巨大，緊急採購無敵,8 
錢都亂花欸,4 
推,6 
台北市政府也是所以他被嘴啊，那我們可以把党跟他們嘴上最爛的柯文哲放在一起嘴嗎,8 
立法院需要更多高虹安,5 
毒就政府放的，誰知道你何時放寬,4 
笑死 居然還有人檢討地方,8 
超錢部署,8 
找機會圖利廠商，當然不敢寫明白,8 
台北市政府編列好像早於時鐘呢,8 
都垃圾 唯有阿北在做事,4 
畜牲陳屎中不知道從中籌措多少選舉資金,4 
四叉賤甲還不出來洗地？,4 
落後部署 走鐘仔，拜託去選市長，讓想專心防疫的來做,8 
我們政府很有錢,8 
在那叫什麼叫,4 
賈永婕那時捐救命神器 隔天記者會也說已下訂了多少台 當日到貨幾台 一看就知道 呵呵,8 
快點打台北 打政敵轉移話題,8 
覺青不要看,8 
類政府累死害死人民,8 
將帥無能,8 
抄錢部署,8 
阿災！公務員是敢沒事買一堆東西放倉庫嗎？是有倉庫可以放嗎？保存不用條件的嗎？,0 
死忠的表示 黨下單訂了就算有 繼續監督台北,8 
馬的防疫物資中央都握在手裡幹嘛,0 
怎麼又是羅氏跟亞培呀 嘻嘻 億來億去的,8 
地方無能累死中央,8 
抄錢部署 高端 抄錢部署 小吃店,8 
不急不徐，圖利自己人，慢慢來，好朋友賺錢,8 
抄錢部署,8 
高調,6 
公務員領死薪水，做的好棒棒是有股票分紅可以領嗎…,1 
抄錢部屬 大成功,8 
選舉快到了，錢怎麼來,8 
3月底前買太多等等義勇軍又靠北~,8 
就綠支那拿病毒繞過審查大撈特撈啊,8 
真的請地方不要拖累党中央好嗎,8 
放寬令早於買快篩，完全證明這政府根本沒在做事，還超前部署勒…,0 
噁心政府在睡覺是嗎,4 
死忠的：疫苗口服藥快篩 買太多都怕被罵,8 
納稅錢在黨眼裡跟垃圾一樣,4 
從頭到尾都在睡,8 
緊急採購才能繞過採購法啊，這套路不知道用幾次了,8 
高雄表示 先買有什麼問題?,8 
國外篩到不想篩 想篩就篩，超前部署的台灣呢 還在等小吃店他們嗎？兩年捏,8 
阿不就故意的,0 
他媽緊急採購 限制性招標 整個立院不敢吭?,4 
超前部署 騙好騙滿,8 
推爆我婆虹安,5 
升官發財請走此路,8 
高虹安 有在做事,5 
完全執政當然可以為所欲為，在那叫什麼？,8 
所以高雄是不相信党中央錯誤的決定嗎？,8 
搞爛快篩正常供需就菜總書記,4 
這水很深,8 
推,6 
所以不管買或不買都會被吉娃娃智障立委嘴,4 
綠能你不能阿,8 
繼續檢討台北市砍二十八億,8 
反黑箱不反服貿 所以覺青是忘記了還是害怕想起來,8 
蘇光頭的不眠不休  呵呵,8 
笑死 防疫物資是中央要買的 地方政府發現中央開天窗趕快自己買 死忠仔混為一談,8 
而且地方政府買的也不是給全國人用的死忠的檢討台北高潮，好像快篩會夠一樣 嘻嘻,4 
高調,6 
靠，買一堆快篩藥不夠是怎樣？,0 
不用審核，想買就買，想拖就拖,8 
還好啦 至少看到疫情爆炸知道要買快篩,5 
